Course,Title,Distribution Group,Analyzing Diversity,Credits,Description
CLAS 102,INTRO TO HIST OF ART I,Distribution Group I,,3,A global survey of art and architecture from antiquity through the 12th century CE.
CLAS 107,GREEK CIVILIZATION & LEGACY,Distribution Group I,,3,"An examination of the literary, artistic, and intellectual achievements of classical Greek civilization from Homer through the golden age of classical Athens to the spread of Greek culture in the Hellenistic world. The influence of ancient Greece on Western culture will be a focus. Case studies in the later reception of classical Greek literature (e.g., tragedy), philosophy (e.g., Socrates), history (e.g., democracy), and art (e.g., The Parthenon) will be examined."
CLAS 108,ROMAN CIVILIZATION &ITS LEGACY,Distribution Group I,,3,"This course will investigate central aspects of Roman civilization: politics, religion, law, oratory, private life, public entertainment, literature, and visual art and architecture. We will also examine the place of ancient Rome in the western imagination, and the influence of ancient Rome on later politics, literature, and art."
CLAS 124,ANTIQUITY IN CHILDREN'S LIT,Distribution Group I,,3,"We will study children’s literature, from the Victorian period to the present day, in which models from classical antiquity and/or the idea of classical antiquity itself are prominent, seeking to understand the meanings “classical antiquity” held and holds for their authors and readers, and the agendas they served and serve. Taught in English."
CLAS 206,THE TROJAN WAR,Distribution Group I,,3,"This course examines the Trojan War from a historical perspective. Topics include the place of the Trojan War in historiography, material evidence for the war, debates about its historicity, and the Trojan War in literature, art, and other media. Canonical tales of Troy, such as the Iliad and Aeneid, will be studied alongside accounts from antiquity and the Middle Ages. All readings in English."
CLAS 208,THE FALL OF ROME,Distribution Group I,,3,"The course will consider the fall of Rome as an historical event and an historical topic. We will examine how, why, and even if the Roman empire fell in antiquity. We will also consider the historical narrative of Rome's fall, including in Gibbon's Decline and Fall of the Roman Empire."
CLAS 209,A SURVEY OF LATIN POETRY,Distribution Group I,,3,"A survey of Latin poetry from its origins to its late period. Readings are in English. The course provides a broad overview of Latin literary history through the close study of Roman poetry and of the culture in which it was produced. Authors include Catullus, Virgil, Horace, and Ovid."
CLAS 210,HOMER AND VIRGIL,Distribution Group I,,3,"This course reads Homer's ILIAD and ODYSSEY and Virgil's AENEID in translation. Topics include the nature of oral poetry, the history of the epic genre, Virgilian intertextuality, the cultural and political contexts in which the poems arose, and case studies in the poets' reception."
CLAS 218,GREEK ART AND ARCHAEOLOGY,Distribution Group I,,3,"An introduction to the art and archaeology of the ancient Greek world. Artistic media, such as sculpture and vase painting will be examined in a broad range of the material culture ancient Greeks created and used. Consideration of these materials within their cultural, social and religious contexts will be discussed."
CLAS 225,AUGUSTUS & 'GOLDEN AGE' ROME,Distribution Group I,,3,"An exploration of Augustan Rome through the literature, art, and architecture that revolutionized the eternal city under its first Emperor, both through his agency and in more subversive form. We will ask how writers and artists responded to this moment of transformation, and how text and material culture interacted to shape Roman Imperial culture."
CLAS 235,CLASSICAL MYTHOLOGY,Distribution Group I,,3,"We will read and analyze some of the most influential Greek myths (including their parallels and permutations in other cultures). Employing insights from a variety of theoretical approaches to myth, we will identify typical story patterns, characters, and events, and the values, anxieties, and aspirations for which they stand."
CLAS 254,HISTORY OF LOVE,Distribution Group I,,3,"What is love? This team-taught course in Classical Studies and English explores answers to this question in the history of love poetry, with a focus on ancient Greece and Rome and early modern English literature. It examines how love shapes the concerns and forms of poetry, and how poetry shapes the experience of love. The course looks at how different authors in different periods treat a wide range of subjects related to love, including eroticism, seduction, sex and sexuality, gender, marriage, infidelity, and age and aging. It identifies modes of thought and expression particular to specific periods and poetic genres, while also investigating shared ideas, forms, and figurative language across literary history. Authors include Sappho, Catullus, Horace, Ovid, Chaucer, Shakespeare, Donne, and Behn, among others. The course will also look at treatments of love in contemporary poetry that draw on and vary material from the relevant traditions: of central interest here will be works by women, LGBTQ+ authors, and Black poets. All readings are in English. This course will count for Distribution in Humanities, and for the majors in Classical Studies and English."
CLAS 302,GREEK TRAGEDY,Distribution Group I,,3,"We will read 16 Greek tragedies by Aeschylus, Sophocles, and Euripides as well as contemporary criticism of tragedy by Aristophanes, Plato, and Aristotle. We will consider how ancient tragedies were staged, how they were received by their audiences, how they fit in the life of Athens, how they influenced later dramatic arts, and how they continue to stimulate thinking about the human situation."
CLAS 303,SOCRATES,Distribution Group I,,3,"The course will seek to understand the life and thought of Socrates, arguably the most influential philosopher in history. Readings will focus on Plato’s Socratic dialogues, among the world’s masterpieces of prose literature, and Aristophanes’ Clouds, in which the “sophist” Socrates is mercilessly mocked for his outlandish uselessness. We will read Plato's Apology of Socrates at both the beginning and the end of the course, considering the reasons that Socrates was tried, convicted, and executed by his fellow citizens, and what was the nature of his defense. Mutually exclusive with FWIS 149. Students cannot receive credit for both FWIS 149 and CLAS 303."
CLAS 307,IMPERIAL ROME,Distribution Group I,,3,"Examination of how Rome acquired, maintained, and understood her empire. Includes the development of a political, social, and ideological system reaching from Scotland to Mesopotamia during the three centuries of Rome's greatest power. D1 effective Fall 2024."
CLAS 336,INTRO TO INDO-EUROPEAN,Distribution Group I,,3,"This course will begin with a brief survey of the Indo-European languages, followed by a detailed reconstruction of Proto-Indo-European phonology, morphology, and syntax. The second half of the course will deal with Indo-European culture, laws, society and poetics, together with a consideration of advanced topics in the individual branches."
CLIC 369,APPROACHES - INTERCULTURAL COM,Distribution Group I,Analyzing Diversity Course,3,"This course will expose students to current trends in ICC (Intercultural Communicative Competence), in the context of learning a new language. Topics can include but are not limited to critical analysis of language use, intercultural differences, and issues related to identities such as class, gender, race, and others from a global perspective. As such, students going abroad could particularly benefit from this course. The class may be taught in English or the target language."
ECON 365,WORLD ECONOMIC HISTORY,Distribution Group I,,3,"Study and analysis of world economy focusing on the economic expansion of Western countries between the 14th and 21st centuries. Emphasis on contextual changes in economy, geography, history, society, culture, religion and politics in determining economic leadership of certain economies, such as Italy, Portugal, Spain, the United Kingdom, Belgium, the Netherlands, France, Germany, Sweden, the United States and Japan."
EDUC 325,ADOLESCENT LITERATURE,Distribution Group I,,3,"The nature of adolescence in an increasingly complex and diversity society is examined through literature written for and about adolescents and young adults. This study of the cultural, literary and developmental issues in adolescent literature is relevant to students of literature, psychology, child development, anthropology and sociology, and is recommended for students preparing to become teachers. This course requires five hours of observation in a local secondary school. Graduate/Undergraduate Equivalency: EDUC 525."
ENGL 101,WHAT IS A FACT?,Distribution Group I,,3,"Whether in science, social sciences or humanities, all students benefit from this essential training in how to discover and interpret the world and its facts. Training in discovery and interpretation is the role of the humanities and literary studies. This class teaches critical thinking and imagination, the fuels of reason."
ENGL 110,INTRODUCTION TO LITERATURE,Distribution Group I,,3,"This course is designed to introduce students from a variety of academic backgrounds to the major literary genres of fiction, poetry, drama, and creative non-fiction. Students will learn and practice the skills of close reading, interpretation, and literary analysis through discussion and critical writing about literature and language. Formerly offered as ENGL 100. Students who have taken ENGL 100 will not receive credit for ENGL 110."
ENGL 111,BANNED BOOKS,Distribution Group I,,3,"This course examines the historical and contemporary struggles over what books can be read, taught, and circulated. From banned classics to recent controversies over school curricula and public libraries, the course explores how debates about books reflect broader social and political conflicts. Readings will include theoretical and historical perspectives on censorship, as well as primary texts that have been challenged or suppressed in and beyond the US."
ENGL 150,HOUSTON - OUT ON THE TOWN,Distribution Group I,Analyzing Diversity Course,3,"Explore Houston’s multi-ethnic literary and art scenes and its diverse audiences, reading practices, and creativity. Along with analyses of art and the social infrastructures that support it, we study Houston-based literature and neighborhoods. Field trips to literary readings, Latinx murals, a Tex-Mex restaurant, and Hermann Park monuments, enhance place-based literacies."
ENGL 175,GLOBAL LITERATURES IN ENGLISH,Distribution Group I,,3,"How does literature both connect cultures across space and speak about what is specific to each culture? This course will explore a number of key developments and trends in 20th and 21st-century literature that enabled the ability of literary texts to reflect the cultures in which they were produced and have the capacity to travel across cultures. How did historical conditions (like the World Wars, the Cold War, colonialism, postcolonialism) and innovations in form, style, genre, and subject matter help make English literature a transnational literature? Any student, regardless of their major, background, or academic level, can register for this course."
ENGL 199,OUTER SPACE AND THE HUMANITIES,Distribution Group I,,3,"Space – including Outer Space– is all around us: we inhabit it, travel through it, explore it, write about it, legislate it, share it, fight over it, and are endlessly fascinated by it. Consider the Political and Corporate Space Races, Black Science Fiction, Space and Race, Space Tourism, Space and Religion, Space and Ecology, Space Trash, Space Law, amongst many other topics. In this course we will discover how these topics of Outer Space connect with the imaginative and creative arts, especially in literature, arts, film and culture."
ENGL 200,GATEWAYS TO LITERARY STUDY,Distribution Group I,,3,"A course designed for and required of all prospective English majors. Emphasis is on close reading, literary interpretation, and critical writing. Attention is paid to the major genres (poetry, drama, and fiction) across a range of historical periods."
ENGL 205,WRITERS ON WRITING,Distribution Group I,,3,"This course aims to demystify the writing process by studying contemporary literature from a writer’s perspective. Through lectures, readings, and class visits with living, working writers, students will learn about and practice the kind of intellectual and creative work that goes into some of the best writing being produced today. Course counts toward the English Creative Writing Major Concentration (ECRW) and the English Creative Writing Minor (CREW)."
ENGL 207,ENVIRONMENTAL STORYTELLING,Distribution Group I,,3,"How can storytelling help us respond to the climate crisis? What’s the point of climate comedy? How much do narratives actually change peoples’ minds, and why are some more effective than others? This course examines these and related questions by considering examples of fictional storytelling for social change from a range of mediums and situating them within research on narrative persuasion from history, cultural criticism, communication studies, psychology, and sociology. For their final project, students will have the opportunity to apply these lessons by creating their own environmental media."
ENGL 210,BEGINNINGS: BRIT LIT TO 1800,Distribution Group I,,3,"""Beginnings"" is a course about the emergence and development of English literature. It is a backgrounds class for majors and non-majors who are interested in reading, and/or in creative writing, and who want to understand the literary past and how it remains with us. You will leave the class with 1) a clear and informed grasp of the major authors, texts, and literary movements from the Middle Ages through the British Enlightenment, 2) some answers to why we should still care about these ""early"" authors and their writing now, and 3) sharpened skills in reading and appreciating poetry and literary forms generally. Our class will approach our literary past with openness and curiosity for what it might hold for us, remembering that we can’t find our voices without knowing something about the traditions, legacies, and heritages that precede and shape us. (This class fulfills the pre-1800 requirement for the English major as well as Humanities distribution.)"
ENGL 211,BRIT LIT ROMANTICISM TO 20TH C,Distribution Group I,,3,A survey of representative British authors of the 19th and 20th centuries for both majors and non-majors.
ENGL 222,WORLD AND SOUTH ASIA,Distribution Group I,Analyzing Diversity Course,3,"Introduction to important 20th and 21st-century writers in English from South Asia - the region that includes India, Pakistan, Bangladesh and Sri Lanka. Readings include award-winning and bestselling works (fiction and non-fiction) by writers who address a wide range of issues including national and cultural identity, colonialism, sexuality, religion, globalization and political violence."
ENGL 230,INTRO TO LATINX LITERATURE,Distribution Group I,Analyzing Diversity Course,3,"This multi-genre course works to define the contours of Latinx literature by surveying texts drawn primarily from Mexican, Puerto Rican, Dominican, and Cuban migrations to the US. In addition to addressing the historical and socio-political conditions that frame the Latinx experience, the course broadly outlines the development of Latinx studies and the formation of its literary canon."
ENGL 249,BOB DYLAN: MUSIC POLITICS RACE,Distribution Group I,,3,This course focuses on Bob Dylan. It begins by looking at the musical traditions he absorbs and their relation to race. It examines influential “beat” movement figures such as Ginsberg and Kerouac. It focuses on the relation of Dylan’s crucial sixties albums to the social turmoil of the decade.
ENGL 250,THE NOVEL & ITS CULTURAL POWER,Distribution Group I,,3,"Course designed to introduce students to the intellectual, historical and aesthetic importance of the novelistic tradition. Selection of works from the 19th century to the present may include Austen, Dickens, Flaubert, James, Woolf, Ellison, Nabokov, Rushdie, and Franzen, and others."
ENGL 251,READING POETRY,Distribution Group I,,3,"Course designed to introduce students to significant works of the poetic tradition, from ancient to contemporary, and from American and English masterworks to world poetry in translation."
ENGL 252,HOW TO READ TEXTS,Distribution Group I,,3,"In this course we will study a wide range of texts with a view to understanding how to read them attentively: newspaper articles, Facebook posts, tweets, poems, narratives, dramas."
ENGL 253,LITERATURE AND ACCENT,Distribution Group I,,3,"This class explores voice and accent in English literature and cultural production, including podcasts, audiobooks, film, and television. Topics include race and voice (e.g. brown voice); the cybernetic voices of virtual assistants like Siri; the call center; and forensic listening. Everyone has an accent, but some are heard as ""neutral"" and others as markers of difference. This has serious implications: accent discrimination costs jobs, housing applications, and asylum claims. Do literary texts have accents, like people do? Students will gain understanding of the politics of accent and voice, while learning to use their accented voices to produce close, critical readings."
ENGL 254,HISTORY OF LOVE,Distribution Group I,,3,"What is love? This team-taught course in Classical Studies and English explores answers to this question in the history of love poetry, with a focus on ancient Greece and Rome and early modern English literature. It examines how love shapes the concerns and forms of poetry, and how poetry shapes the experience of love. The course looks at how different authors in different periods treat a wide range of subjects related to love, including eroticism, seduction, sex and sexuality, gender, marriage, infidelity, and age and aging. It identifies modes of thought and expression particular to specific periods and poetic genres, while also investigating shared ideas, forms, and figurative language across literary history. Authors include Sappho, Catullus, Horace, Ovid, Chaucer, Shakespeare, Donne, and Behn, among others. The course will also look at treatments of love in contemporary poetry that draw on and vary material from the relevant traditions: of central interest here will be works by women, LGBTQ+ authors, and Black poets. All readings are in English. This course will count for Distribution in Humanities, and for the majors in Classical Studies and English."
ENGL 255,THE IDEA OF SHAKESPEARE,Distribution Group I,,3,"Who was Shakespeare? How do we understand the global multimedia icon that is ""Shakespeare""? Designed for non-majors or for potential English majors, this course offers an introductory approach to the works of William Shakespeare and to the Shakespeare ""phenomenon"" through close attention to his poems, play texts, and after effects."
ENGL 260,WHAT IS AMERICAN LITERATURE,Distribution Group I,Analyzing Diversity Course,3,A survey of representative U.S. authors from the 18th century to the present designed for both majors and non-majors.
ENGL 262,DETECTIVES IN FILM & LIT,Distribution Group I,,3,"A survey of detective works from Sherlock Holmes to film noir and contemporary crime procedurals. Investigations of crime and puzzles center our discussions of interpretive authority, problems of social scapegoating and racial suspicion, and the figure of the detective genius. Becoming detectives ourselves, we apply interpretive agency to social issues."
ENGL 263,LATINX LAB,Distribution Group I,,3,"The Latinx Research and Writing Lab surveys current research topics and methods in fields expressly focused on U.S. Latinx communities. The Latinx Lab support students who are interested in the actual conversion of research into a research paper, poster, or some multi-media format."
ENGL 266,BLACK COMICS,Distribution Group I,,3,"This course considers the impact and development of graphic novels in the African American literary tradition. It traces the origin story of the genre, examines its evolving relationship to African American biography, history, and fiction, and considers its popularity in contemporary media."
ENGL 267,INTRO TO AFRICAN AMER LIT,Distribution Group I,Analyzing Diversity Course,3,"An introduction to the history and traditions of African American literature. Course will examine the poetry, essays, and fiction by people of African descent from the 18th to the 21st centuries."
ENGL 269,SCI FI AND THE ENVIRONMENT,Distribution Group I,,3,"Examines the ways that science fiction has expressed and challenged ideas about nature, culture, society, and politics."
ENGL 270,ASPECTS OF MODERN LITERATURE,Distribution Group I,,3,"An introduction to modern/postmodern culture that may include readings of novels, plays, short stories, poems, psychoanalytic theory, and art criticism/philosophy. The emphasis is on reading and interpreting different kinds of texts in broad cultural contexts."
ENGL 271,BLACK LITERARY EXPERIMENTATION,Distribution Group I,,3,"This course will approach contemporary African American literature through various literary genres (e.g., horror, satire, comedy, futurism, absurdity, etc) to explore how genre shapes constructions of blackness and vice versa."
ENGL 272,LITERATURE AND MEDICINE,Distribution Group I,Analyzing Diversity Course,3,"Designed for, but not limited to, students interested in the medical profession, this course introduces the study of medicine through reading imaginative literature--novels, plays, essays, poems--by and about doctors and patients, focusing on understanding ethical issues and on developing critical and interpretive skills."
ENGL 273,MEDICINE AND MEDIA,Distribution Group I,Analyzing Diversity Course,3,"An interdisciplinary exploration of the role of imaging technologies in the practice of medicine, and the role of mass media in shaping our understandings of the body, health, and disease. This course examines visual media structure ""ways of seeing"" for physicians and for the public. Emphasis will be placed on developing media literacy skills."
ENGL 274,HEAVEN AND HELL,Distribution Group I,,3,Course examines the place of religious thought in literature and culture from the pre-modern to the modern world. The course examines how religious problems and questions -- from an investment in a theological world view to the critique of God and providence -- have shaped literary form and function.
ENGL 279,BLACK SCI-FI,Distribution Group I,Analyzing Diversity Course,3,"This course examines how black science and speculative fiction worries the division between reality and fantasy; challenges the fictions embedded in our national histories; and underscores the social, economic, and political inequities short-circuiting the lives of brown and black peoples around the world. Focusing on works from Octavia Butler to Victor Levalle, from George Schuyler to Mat Johnson, from John Williams to Colson Whitehead among others, the course engages the ways in which these authors represent the monstrous and grotesque; pandemics, environmental and technological degradation and catastrophe; urbanization, gentrification, and immigration; and (biological/technological) warfare, in order to recalibrate our understanding of the central role race plays in determining both access to, and allocation of, necessary resources. We will track the histories and afterlives of slavery and colonialism that continue to transfigure our society, while also studying varied blueprints for, and critiques of, alternative, more egalitarian societies imagined by these artists."
ENGL 286,CLASSICAL & CONTEMPORARY FILM,Distribution Group I,,3,"A film course focusing on contexts such as movies and advertisements, familiar plots and conventions define their significance."
ENGL 301,INTRO TO FICTION WRITING,Distribution Group I,,3,"A course that teaches the fundamentals of fiction writing, and includes a mixture of reading and writing assignments. The goal is for each student to produce two short stories possessing imaginative ingenuity, structural integrity, and literary merit by the end of the semester. Course counts toward the English Creative Writing Major Concentration (ECRW) and the English Creative Writing Minor (CREW)."
ENGL 304,INTRO TO POETRY WRITING,Distribution Group I,,3,"An introduction to poetry writing through the study of contemporary poets and the writing of poems. The class will pay extensive attention to such elements of poetry as imagery, figurative language, tone, syntax, and form in order to create a vocabulary for students to discuss their own poems. Students' poems will be critiqued by the class in a workshop setting. Course counts toward the English Creative Writing Major Concentration (ECRW) and the English Creative Writing Minor (CREW)."
ENGL 305,INTRO CREATIVE NONFICT WRITING,Distribution Group I,,3,"A course in reading and writing creative nonfiction prose for the beginning writer. Sections may focus on a range of nonfiction genres or one specific form, e.g. personal essay/memoir, travel narratives, literary journalism, science and nature writing. Course counts toward the English Creative Writing Major Concentration (ECRW) and the English Creative Writing Minor (CREW)."
ENGL 308,INTRODUCTION TO PODCASTING,Distribution Group I,,3,"This project-based course will lead us through an introduction to the ever-expanding medium of podcasting, specifically radio storytelling. We will unpack and discuss the techniques of practiced podcasters and use those elements in our own attempts at radio reportage: arts & culture shorts, vox pops, sonic ID’s, and short and long-form interviews. We will become proficient in capturing sound, interviewing strangers, writing scripts, pitching ideas for stories, and using GarageBand software to edit and shape that content. Course counts toward the English Creative Writing Major Concentration (ECRW) and the English Creative Writing Minor. D1 effective Fall 2024."
ENGL 316,CHAUCER,Distribution Group I,,3,"An introduction to Geoffrey Chaucer's The Canterbury Tales, Middle English, and the political and cultural climate of the fourteenth century."
ENGL 317,ARTHURIAN LITERATURE,Distribution Group I,,3,"A survey of the origins and development of the Arthurian legend from the earliest chronicles in the sixth century and later medieval French, Welsh, Irish, and English Arthurian poems to modern adaptations of Arthurian material, including films."
ENGL 320,SHAKESPEARE ON FILM,Distribution Group I,,3,"A course that examines both the text of selected Shakespearean plays and films based on them, focusing on the difference between film and drama."
ENGL 321,SHAKESPEARE,Distribution Group I,,3,"An introductory examination of representative Shakespearean plays, including tragedies, comedies, histories and romances."
ENGL 322,TOPICS IN SHAKESPEARE,Distribution Group I,,3,A topics course in Shakespeare's works. Topics will vary semester to semester. See the English Department website for more information. This course will be repeatable for credit. Repeatable for Credit.
ENGL 331,LIT/EXPERIMENTAL IMAGINATION,Distribution Group I,,3,"The course introduces students to 17th and 18th century English literature that shift the boundaries between the imaginative arts (or humanistic knowledges) and the empirical and universalist agendas of the Scientific Revolution. How did writers capitalize on philosophical and scientific developments with new storytelling forms like—science fiction, utopian tales, and IT-narratives?"
ENGL 332,LIT OF BRITISH ENLIGHTENMENT,Distribution Group I,,3,"A course that examines a representative range of British prose and poetry from 1660-1790, the period known as the Enlightenment. This was a volatile age of plots, revolution, philosophical and scientific innovation, and literary transformation. Our readings will cover poems of several genres, short prose narratives, essays and philosophical treatises."
ENGL 333,18TH CENTURY BRITISH FICTION,Distribution Group I,,3,"A course that explores the emergence and consolidation of the English novel and its dynamic relationship to many other 18th-century legacies: the modern individual, capitalism, civil society, the middle class, democracy, and colonialism. Graduate/Undergraduate Equivalency: ENGL 532."
ENGL 337,GOTHIC LITERATURE,Distribution Group I,,3,"Gothic British and American literature concerns the many instances of terror, horror, the grotesque, and the sublime from the the late 1700s to the onset of industrial modernity in the early 1900s. In surveying the theoretical underpinnings of the Gothic, this course will discuss race, sexuality, religion, science, and philosophy."
ENGL 338,BRITISH ROMANTICISM,Distribution Group I,,3,"A multi-genre course on the Romantic period. This course will explore the excesses, extremes, and diversities of British Romanticism across a variety of media: plays, tales, confessions, novels, and satires (including illustrations, paintings, and visual spectacles)."
ENGL 339,ROMANTICISM:RUINS RACE REVOLUT,Distribution Group I,Analyzing Diversity Course,3,"Romanticism is a historical period and an idea that has shaped our contemporary world. This course examines three core concepts of Romanticism: ruins, race, and revolution. By looking at texts (novels, poems, philosophy, history) and visual art (paintings, film) from the eighteenth century until today students will examine how ruins, race, and revolutions were central to the formation of what we consider key concepts in our lives, such as love, longing, beauty, justice, and equality."
ENGL 341,VICTORIAN LITERATURE & CULTURE,Distribution Group I,,3,"A multi-genre course that explores the array of creative works that examine the Victorian period through poetry, non-fiction prose, fiction, art and material culture. Repeatable for Credit."
ENGL 342,VICTORIAN FICTION,Distribution Group I,,3,"A survey of the many genres of the nineteenth-century novel, this course will try to come to terms with some of the insistent questions posed by and through the fiction of the period."
ENGL 344,DICKENS,Distribution Group I,,3,"How do we account for the extraordinary popularity and influence of Charles Dickens from his own time till now? How did he and how have his audiences assigned and extracted value from his writing and his life more generally? The course will focus on Dickens's journalism, novels, shorter fiction, and letters, as well as on visual and verbal adaptations of his work. Readings will include selections of texts from throughout Dickens’s career such as Sketches by Boz, Oliver Twist, A Christmas Carol, David Copperfield, and A Tale of Two Cities."
ENGL 346,THE MODERN NOVEL IN BRITAIN,Distribution Group I,,3,A survey of the modernist novel in 20th-century Britain.
ENGL 359,WRITING NEW ORLEANS —THE CITY,Distribution Group I,,3,"New Orleans holds an extraordinary attraction for virtually all writers who embrace it as a setting. We will explore that fascination in a wide-ranging sample of writing by such authors as Kate Chopin, William Faulkner, Tennessee Williams, Walker Percy, Eudora Welty, John Kennedy Toole, Michael Ondaatje, Sarah Broom, Maurice Carlos Ruffin, Eric Nguyen, and others. We will try to understand some of the many ways in which these writers have used this mysterious, complex, and magnetic place, striving to explain its survival despite and in some cases because of the social, legal, cultural, and environmental storms that have battered it. Our reading will be balanced between texts long ago admitted to the canon of classic American literature (Streetcar Named Desire, A Confederacy of Dunces) and texts that are part of a recent remarkable outburst of creative energy associated with the post-Katrina city (Ruffin’s short stories; Sarah Broom’s The Yellow House). The food, drink, and music of New Orleans will receive special attention as key parts of the city’s cultural fabric. A final paper will ask you to write your own New Orleans: to build a verbal monument from the foundations of these other attempts to capture the city’s essence in words."
ENGL 360,AMER LIT BEFORE THE CIVIL WAR,Distribution Group I,,3,"A survey of American literatures spanning the Age of Discovery, Atlantic Revolutions, and onset of the U.S. Civil War."
ENGL 361,US LITERATURE CIVIL WAR TO WWI,Distribution Group I,,3,"From Mark Twain to T.S. Eliot, a survey of authors commenting on the American North, South, and West from Reconstruction to WWI."
ENGL 362,MODERN AMERICAN FICTION,Distribution Group I,,3,"A survey of the fiction of the first half of the 20th century, one of the great periods of social turmoil and intense artistic experimentation. Authors may include Chopin, Hemingway, Fitzgerald, Toomer, Faulkner, Hurston, Barnes."
ENGL 363,US NOVEL POST-WORLD WAR II,Distribution Group I,,3,"An examination of the narrative experiments and trends of the period, from 1950 to the present."
ENGL 365,AMERICAN POETRY 1960-PRESENT,Distribution Group I,,3,"A survey of 20th - 21st century U.S. poetry: poets studied may include Elizabeth Bishop, Robert Hayden, Randall Jarell, John Berryman, Robert Lowell, Gwendolyn Brooks, Denise Levertov, James Merrill, John Ashbury, Philip Levine, Anne Sexton, and others."
ENGL 368,LITERATURE AND THE ENVIRONMENT,Distribution Group I,,3,A course that asks the question: How does literature express or shape environmental values? In this class we will read American fiction and nonfiction exploring the relationship between human and nonhuman nature.
ENGL 370,AFRICAN AMERICAN LITERATURE,Distribution Group I,Analyzing Diversity Course,3,"A course that traces, through various genres and themes, African American literary history from the late eighteenth century to the present. Attention is given to theories and critiques of African American literature and culture."
ENGL 372,ASIAN AMERICAN LITERATURE,Distribution Group I,Analyzing Diversity Course,3,"A course that examines the various themes of the Asian American experience through literary and cultural forms. Special attention is given to the representational histories of Asian/American immigration, racial formation, and social movements."
ENGL 373,SURVEY OF AMER FILM & CULTURE,Distribution Group I,,3,"A course that explores the history of cinema in the U.S. from its origins to the present day. This course will examine the development of narrative, sound, the classical Hollywood form and style; film genres; the emergence of television; the influence of postwar “art cinemas”; the origins of the blockbuster; and the status of Hollywood as “global cinema.”"
ENGL 376,SE ASIAN LITERATURE IN ENGLISH,Distribution Group I,,3,"An introductory course that surveys the literary history of English-language writing in Southeast Asia. This course examines twentieth- and twenty-first-century novels, short stories, and poetry from across the region, with a primary focus on literature from former colonies of the British and American empires—namely, Singapore, Malaysia, and the Philippines. Attention will also be given to Vietnamese literature grappling with the legacies of American military intervention in the region. Situating this dynamic writing within the historical, cultural, and sociopolitical contexts of Southeast Asia, this course will introduce students to shared thematic engagements with anticolonial nationalism, the aftermath of war, modernization, urbanization, and globalization."
ENGL 379,"INTRO ""THIRD WORLD"" LITERATURE",Distribution Group I,,3,"A course that primarily surveys fiction, poetry, drama, film (in English) from postcolonial contexts, especially those of Africa, the Caribbean, and the Indian subcontinent. Authors discussed may include Rushdie, Narayan, Roy, Wolcott, Ngugi, Coetzee, and Achebe."
ENGL 380,POSTCOLONIAL VISIONS,Distribution Group I,,3,"This course explores key works of poetry, fiction, drama, non-fiction prose, and theory that voice the aspirations and struggle of colonized people from Africa, the Indian subcontinent and the Caribbean. The course covers both the anti-colonial period and the challenges faced by new nation-states after they gained political independence."
ENGL 383,GLOBAL FICTIONS,Distribution Group I,Analyzing Diversity Course,3,"This course has two components: one, it looks at recent fiction in English by U.S., British, and international writers that deal with global and transnational issues; and two, it studies the work of recent cultural critics who provide new understandings of an increasingly networked world as well as the imaginative and narrative tools --fictional, artistic, cinematic, electronic and visual--that we use to process the fast-paced realities of contemporary globalization."
ENGL 386,MEDICAL MEDIA ARTS LAB,Distribution Group I,,4,"Students will collaborate with health professionals to create solutions to real-world medical communication, visualization and design problems. Working individually and in teams, students will apply critical thinking and theory to hands-on design. Projects may include production of short videos, infographics, app development, 3-D virtual models, creative writing, and other media arts."
ENGL 389,YOUTH STUDIES,Distribution Group I,,3,"A variable topics course exploring the cultural productions of youth, their social geographies, and youth as a critical field important to the theorization of activism, technology, law and incarceration, reproductive politics, sexuality, consumerism, citizenship, environment. Previous topics: Generation X, Third Wave Feminism, Obama and the Youth Vote, Harry Potter & Gen Y, Power, Politics, and Reading Issues of Access."
ENGL 390,INTRODUCTION TO THEATRE,Distribution Group I,,3,A survey course of the art and theory of the theatre through an examination of dramatic literature and theatrical venues from the Greeks through the modern era. The course will also explore the craft of the theatre from a practitioner's point of view as it is realized today. Requires attending several theatre productions in local Houston venues.
ENGL 394,MORRISON & FAULKNER SEMINAR,Distribution Group I,Analyzing Diversity Course,3,"This seminar places in conversation the writings of William Faulkner and Toni Morrison on race, gender, history, and American legal culture. We examine the implications of race and gender on poverty, homelessness, employment, colonialism, segregation, aesthetics, reproductive justice, healthcare, education, citizenship and due process."
ENST 205,RECKONING W/ THE ANTHROPOCENE,Distribution Group I,,3,"This course joins the ongoing effort to make sense of how humans have reshaped the planet and its ecosystems. It does so by focusing on how a key concept, the Anthropocene, has journeyed from the geological sciences to a wide array of disciplines and audiences. We’ll explore how historians, critics, philosophers, journalists, scientists, activists, poets, novelists, filmmakers, and others are finding new ways to talk about how we got here and how we might contend with the possible futures that await us. We’ll hone new skills for reading, writing, and thinking about changing environments. And together we’ll imagine the kind of communities we might create in response to a warming world."
ENST 207,ENVIRONMENTAL STORYTELLING,Distribution Group I,,3,"How can storytelling help us respond to the climate crisis? What’s the point of climate comedy? How much do narratives actually change peoples’ minds, and why are some more effective than others? This course examines these and related questions by considering examples of fictional storytelling for social change from a range of mediums and situating them within research on narrative persuasion from history, cultural criticism, communication studies, psychology, and sociology. For their final project, students will have the opportunity to apply these lessons by creating their own environmental media."
